,timestamp,bid,ask,bid_vol,ask_vol,date,Volume,Price,MidPrice,Spread,SpreadCm,TickRule,ObservedPrice,VWAP,Instrument
1357,2019-01-02 09:37:06.205,131.238,131.263,17,910,2019-01-02,5224257,131.2625415318231,131.2505,0.025000000000005684,137.3299999999994,32,132.06254153182329,130.43515631495805,Facebook
1232,2019-01-02 09:41:22.625,130.978,131.012,260,7500,2019-01-02,5223619,131.01086082474228,130.995,0.033999999999991815,105.53799999999907,-1,130.9768608247423,130.80389749781162,Facebook
1153,2019-01-02 09:45:46.399,131.237,131.28,10100,7500,2019-01-02,5221469,131.25532386363636,131.2585,0.043000000000006366,76.20999999999995,24,132.28732386363652,131.0906761363636,Facebook
1153,2019-01-02 09:51:04.309,131.667,131.708,42,7500,2019-01-02,5224135,131.70777167859984,131.6875,0.04099999999999682,69.78500000000028,24,132.69177167859976,131.4362350039777,Facebook
1126,2019-01-02 09:55:54.481,131.957,132.013,100,12400,2019-01-02,5219888,132.012552,131.985,0.056000000000011596,63.386999999999574,-15,131.17255199999983,131.8212999877743,Facebook
1174,2019-01-02 10:01:56.760,131.518,131.558,200,7500,2019-01-02,5222667,131.55696103896105,131.538,0.03999999999999204,70.83500000000035,5,131.756961038961,131.70261085849498,Facebook
1171,2019-01-02 10:06:31.072,132.157,132.223,100,7500,2019-01-02,5221924,132.22213157894737,132.19,0.0660000000000025,67.10900000000001,2,132.35413157894737,132.02432743909128,Facebook
1141,2019-01-02 10:11:01.409,132.758,132.813,17,150,2019-01-02,5224988,132.80740119760478,132.7855,0.0549999999999784,64.02699999999928,26,134.2374011976042,132.48082628338793,Facebook
1099,2019-01-02 10:16:44.376,133.057,133.113,260,150,2019-01-02,5223293,133.07748780487805,133.08499999999998,0.056000000000011596,64.73800000000068,48,135.7654878048786,132.9594529895064,Facebook
1059,2019-01-02 10:21:35.277,133.018,133.09,260,7500,2019-01-02,5218519,133.08758762886598,133.054,0.07200000000000273,59.64200000000034,-8,132.51158762886595,132.9933072914049,Facebook
1179,2019-01-02 10:27:14.456,133.298,133.382,17,7500,2019-01-02,5219353,133.3818100305973,133.34,0.08400000000000318,63.74799999999888,-14,132.20581003059726,133.2276360211056,Facebook
1247,2019-01-02 10:32:14.617,132.958,133.022,260,7500,2019-01-02,5217969,133.01985567010308,132.99,0.06399999999999295,69.04899999999927,-34,130.84385567010332,133.09660404674193,Facebook
1329,2019-01-02 10:38:21.021,133.272,133.323,17,7,2019-01-02,5220736,133.28687499999998,133.2975,0.051000000000016144,78.55600000000118,-32,131.65487499999946,133.155263254523,Facebook
1305,2019-01-02 10:43:43.651,133.507,133.562,17,75,2019-01-02,5221534,133.55183695652175,133.5345,0.05500000000000682,81.31900000000007,-4,133.33183695652173,133.37910166721153,Facebook
1172,2019-01-02 10:48:16.213,133.738,133.792,10100,520,2019-01-02,5223855,133.7406440677966,133.765,0.054000000000002046,72.5249999999997,29,135.30664406779667,133.62479120820961,Facebook
1125,2019-01-02 10:52:12.708,134.028,134.063,17,1050,2019-01-02,5216059,134.06244236176195,134.0455,0.03499999999999659,63.29399999999916,36,135.32244236176183,133.8615351166669,Facebook
1200,2019-01-02 10:56:58.930,134.278,134.328,100,7500,2019-01-02,5220630,134.32734210526317,134.303,0.05000000000001137,64.43100000000015,37,136.1773421052636,134.09631424497232,Facebook
1147,2019-01-02 11:01:43.339,134.238,134.302,200,75,2019-01-02,5218463,134.25545454545454,134.26999999999998,0.06399999999999295,66.17299999999915,2,134.38345454545453,134.31396789243493,Facebook
1161,2019-01-02 11:06:56.937,134.588,134.642,100,220,2019-01-02,5221714,134.62512499999997,134.615,0.054000000000002046,68.36100000000013,4,134.84112499999998,134.4469422463196,Facebook
1064,2019-01-02 11:11:31.772,135.317,135.373,260,150,2019-01-02,5223464,135.33748780487804,135.345,0.055999999999983174,57.801000000000386,-19,134.27348780487836,135.0222616481342,Facebook
1206,2019-01-02 11:16:51.623,135.448,135.513,17,970,2019-01-02,5216774,135.51188044579536,135.4805,0.06499999999999773,64.75600000000037,43,138.30688044579526,135.3786593212146,Facebook
1262,2019-01-02 11:21:59.024,135.97,136.033,17,220,2019-01-02,5221312,136.02848101265823,136.0015,0.06299999999998818,67.78099999999856,29,137.8554810126579,135.83238869585728,Facebook
1259,2019-01-02 11:26:51.202,136.007,136.083,260,150,2019-01-02,5220605,136.0348048780488,136.04500000000002,0.0759999999999934,69.02599999999944,30,138.3148048780486,135.9761660143441,Facebook
1266,2019-01-02 11:32:29.874,135.948,136.003,17,120,2019-01-02,5216033,135.99617518248175,135.9755,0.0549999999999784,67.59300000000081,35,137.921175182481,135.93186298669613,Facebook
1201,2019-01-02 11:38:07.322,135.798,135.819,200,7500,2019-01-02,5211480,135.81845454545453,135.80849999999998,0.020999999999986585,68.64999999999804,-10,135.60845454545466,135.85263489098443,Facebook
