,timestamp,bid,ask,bid_vol,ask_vol,Volume,Price,MidPrice,Spread,SpreadCm,TickRule,ObservedPrice,VWAP,Instrument
887,2019-01-03 09:32:11.348,143.861,143.903,320,7500,4996890,143.90128132992328,143.882,0.04200000000000159,48.6429999999998,-4,143.73328132992327,144.10684960244768,Google
983,2019-01-03 09:34:09.836,144.157,144.203,10,7500,4993631,144.20293874833555,144.18,0.04599999999999227,52.22400000000053,-30,142.8229387483358,144.10995103547575,Google
937,2019-01-03 09:35:50.859,143.387,143.423,110,37,4993135,143.39606122448978,143.405,0.036000000000001364,46.91399999999925,-20,142.67606122448976,143.6638935268297,Google
985,2019-01-03 09:37:30.378,143.148,143.183,10,7500,4990689,143.1829533954727,143.1655,0.03499999999999659,47.246000000000095,10,143.53295339547267,143.24147977205226,Google
972,2019-01-03 09:39:19.218,143.288,143.332,110,4,4987916,143.28954385964911,143.31,0.04399999999998272,44.90499999999986,25,144.38954385964868,143.2222611345072,Google
922,2019-01-03 09:41:00.224,143.961,144.012,320,75,4996195,143.97068354430382,143.9865,0.05099999999998772,41.83099999999939,15,144.73568354430364,143.71103331709568,Google
953,2019-01-03 09:42:53.496,144.188,144.238,10200,7500,4999417,144.20918644067794,144.213,0.05000000000001137,40.580000000000865,50,146.7091864406785,144.05799182025262,Google
949,2019-01-03 09:44:53.996,144.027,144.083,100,10300,4993064,144.08246153846153,144.055,0.056000000000011596,41.47900000000004,10,144.64246153846165,144.18082943004552,Google
935,2019-01-03 09:47:00.611,143.659,143.702,320,530,4982758,143.68581176470587,143.6805,0.043000000000006366,40.48199999999892,4,143.8578117647059,143.83568513483195,Google
897,2019-01-03 09:49:09.015,143.577,143.643,110,820,4994312,143.63519354838706,143.61,0.0660000000000025,38.679999999998984,32,145.74719354838714,143.61593194307127,Google
952,2019-01-03 09:51:31.426,143.418,143.462,320,150,4989628,143.43204255319148,143.44,0.04399999999998272,40.64200000000034,23,144.44404255319108,143.5546723567267,Google
1016,2019-01-03 09:54:09.951,143.338,143.378,10200,7500,4992468,143.35494915254236,143.358,0.03999999999999204,42.851000000000084,-7,143.07494915254242,143.4459793099186,Google
1005,2019-01-03 09:56:25.300,143.808,143.852,110,190,4995202,143.83586666666667,143.82999999999998,0.04400000000001114,39.970999999999094,-8,143.4838666666666,143.66756469047178,Google
979,2019-01-03 09:58:31.416,144.061,144.102,330,150,4991490,144.0738125,144.0815,0.04099999999999682,40.40499999999935,-12,143.58181250000004,144.0950819272533,Google
1082,2019-01-03 10:01:03.079,143.888,143.931,10200,7500,4994334,143.90622033898305,143.9095,0.043000000000006366,46.324999999999704,-27,142.74522033898288,144.04508844014848,Google
1045,2019-01-03 10:03:28.451,143.947,144.002,50,7500,4993544,144.00163576158943,143.9745,0.05500000000000682,45.108000000000175,-18,143.0116357615893,143.93707784458195,Google
1090,2019-01-03 10:06:15.261,143.678,143.712,100,74,4989434,143.69245977011494,143.695,0.033999999999991815,47.05699999999939,-21,142.9784597701151,143.7107478112658,Google
1037,2019-01-03 10:08:59.157,144.128,144.17,110,7500,4989777,144.1693929040736,144.149,0.04200000000000159,41.60200000000043,28,145.34539290407363,143.97210528788216,Google
1020,2019-01-03 10:11:41.665,143.928,143.969,10100,7500,4995030,143.94547159090908,143.9485,0.04099999999999682,43.434999999999775,-9,143.5764715909091,144.02832153349163,Google
1068,2019-01-03 10:14:38.637,143.487,143.542,110,7500,4990513,143.54120499342972,143.5145,0.05500000000000682,45.37000000000094,1,143.59620499342972,143.75960045321406,Google
972,2019-01-03 10:17:01.128,143.328,143.359,100,7500,4999734,143.35859210526317,143.3435,0.03100000000000591,40.92500000000052,21,144.0095921052633,143.34439853479856,Google
981,2019-01-03 10:19:46.098,143.478,143.508,110,7500,4999358,143.50756636005258,143.493,0.030000000000001137,41.25200000000032,36,144.58756636005262,143.3937065406449,Google
994,2019-01-03 10:22:19.322,143.918,143.952,110,10200,4992049,143.95163724539282,143.935,0.033999999999991815,40.972999999999814,49,145.61763724539242,143.78047014748242,Google
893,2019-01-03 10:24:48.729,143.917,143.962,21,7500,4995539,143.9618743518149,143.9395,0.044999999999987494,37.37299999999928,52,146.30187435181426,143.87590707050302,Google
956,2019-01-03 10:27:52.893,143.758,143.792,110,7500,4994026,143.7915085413929,143.775,0.033999999999991815,39.79299999999955,49,145.45750854139249,143.81262114453284,Google
969,2019-01-03 10:30:29.145,143.757,143.79,100,7500,4996118,143.78956578947367,143.7735,0.03299999999998704,39.122000000000355,8,144.05356578947357,143.84623103577675,Google
1044,2019-01-03 10:33:22.443,143.118,143.158,10700,7500,4993601,143.1344835164835,143.13799999999998,0.03999999999999204,44.11700000000005,1,143.1744835164835,143.43677219101528,Google
1019,2019-01-03 10:36:26.753,143.107,143.153,110,150,4996550,143.13353846153848,143.13,0.04599999999999227,41.92800000000028,-34,141.56953846153874,143.28011957043847,Google
978,2019-01-03 10:38:46.338,142.518,142.572,10300,10300,4997287,142.545,142.54500000000002,0.054000000000002046,40.14299999999929,-27,141.08699999999993,142.84793977280367,Google
956,2019-01-03 10:41:03.526,142.332,142.362,330,75,4992025,142.33755555555555,142.34699999999998,0.030000000000001137,41.59699999999958,-31,141.40755555555552,142.54232865827467,Google
937,2019-01-03 10:43:30.318,142.127,142.162,330,75,4983526,142.13348148148148,142.1445,0.03499999999999659,38.799000000000404,-50,140.38348148148165,142.2834064911019,Google
972,2019-01-03 10:46:21.734,142.368,142.402,110,390,4996021,142.39452,142.385,0.033999999999991815,38.06300000000087,-3,142.29252000000002,142.31187237384756,Google
987,2019-01-03 10:49:48.772,142.442,142.462,330,75,4999611,142.4457037037037,142.452,0.01999999999998181,37.1530000000005,28,143.0057037037032,142.44791661925592,Google
1028,2019-01-03 10:53:46.124,142.657,142.691,100,7500,4992903,142.69055263157895,142.674,0.033999999999991815,38.4760000000002,1,142.72455263157894,142.6732313610323,Google
1109,2019-01-03 10:57:17.521,142.837,142.883,100,75,4992967,142.85671428571428,142.86,0.04600000000002069,42.453000000000316,-6,142.58071428571415,142.864195548177,Google
1053,2019-01-03 11:00:57.902,143.488,143.519,110,7500,4995893,143.51855190538765,143.5035,0.03100000000000591,42.38300000000012,4,143.64255190538768,143.25474048594472,Google
1074,2019-01-03 11:04:40.772,143.378,143.412,110,1010,4991864,143.4086607142857,143.39499999999998,0.034000000000020236,39.347000000000406,7,143.64666071428584,143.37837312030078,Google
1032,2019-01-03 11:08:31.930,143.417,143.452,10100,7500,4995635,143.43191477272728,143.4345,0.03499999999999659,38.63499999999979,-7,143.1869147727273,143.38754585565874,Google
745,2019-01-03 11:11:42.706,271.057,271.313,10100,10200,4997224,271.18563054187194,271.185,0.2559999999999718,73.75199999999904,16,275.2816305418715,228.64467703269426,Google
403,2019-01-03 11:14:12.050,270.877,271.02,30,7500,4992594,271.01943027888444,270.94849999999997,0.14299999999997226,101.51699999999894,6,271.8774302788843,228.7181484221726,Google
354,2019-01-03 11:17:02.660,271.388,271.561,51,10100,4994210,271.5601308245493,271.4745,0.17300000000000182,79.80399999999946,13,273.8091308245493,271.31246641721174,Google
386,2019-01-03 11:19:49.313,271.968,272.322,10800,10000,4998508,272.13819230769235,272.145,0.353999999999985,84.55099999999993,-5,270.3681923076924,271.9832256804778,Google
449,2019-01-03 11:22:14.219,1527.319,1528.573,10100,2,4995593,1527.3192482676698,1527.946,1.2540000000001328,441.4679999999965,10,1539.859248267671,1109.431136133072,Google
569,2019-01-03 11:25:48.909,133.668,133.703,50,7500,4999201,133.70276821192053,133.6855,0.03499999999999659,569.9210000000024,-22,132.9327682119206,598.7275145697499,Google
1041,2019-01-03 11:31:14.983,144.05,144.083,330,290,4999912,144.06543548387097,144.06650000000002,0.03299999999998704,60.07699999999852,-36,142.87743548387144,140.53183521604615,Google
1032,2019-01-03 11:35:09.791,144.158,144.211,99,7500,4997795,144.2103095144098,144.1845,0.05300000000002569,42.70699999999974,-3,144.05130951440972,140.5843518760049,Google
946,2019-01-03 11:38:18.781,144.588,144.643,330,140,4999883,144.6043829787234,144.6155,0.05500000000000682,38.5630000000003,37,146.63938297872366,144.4495507884237,Google
1047,2019-01-03 11:42:18.738,144.638,144.682,55,75,4992413,144.6633846153846,144.66,0.04399999999998272,45.45500000000064,36,146.24738461538396,144.6468804890904,Google
1048,2019-01-03 11:46:19.052,144.798,144.832,110,10300,4992735,144.83164073006722,144.815,0.033999999999991815,45.63599999999951,35,146.02164073006693,144.7527707425506,Google
835,2019-01-03 11:49:14.141,145.187,145.222,110,7500,4996664,145.221494086728,145.2045,0.03499999999999659,35.91699999999963,32,146.3414940867279,145.0979201755064,Google
1003,2019-01-03 11:52:53.128,144.898,144.932,100,790,4993912,144.92817977528088,144.915,0.033999999999991815,42.048000000000854,-14,144.452179775281,145.08992703539812,Google
991,2019-01-03 11:56:43.674,144.778,144.812,10100,150,4993132,144.7784975609756,144.79500000000002,0.034000000000020236,41.32599999999965,-6,144.5744975609755,144.84248299723893,Google
1021,2019-01-03 12:00:44.828,144.79,144.822,330,7500,4997837,144.82065134099616,144.80599999999998,0.03200000000001069,44.80299999999954,46,146.29265134099666,144.7401125270492,Google
989,2019-01-03 12:04:33.152,144.758,144.802,330,7500,4994551,144.80014559386973,144.78,0.04399999999998272,44.54599999999971,26,145.94414559386928,144.84504665916174,Google
1005,2019-01-03 12:09:08.481,144.887,144.932,120,7500,4998091,144.93129133858267,144.90949999999998,0.044999999999987494,43.330000000000126,10,145.38129133858254,144.9027557534279,Google
1037,2019-01-03 12:13:07.548,145.518,145.553,1,7500,4999141,145.55299533395547,145.5355,0.03499999999999659,43.15600000000077,26,146.46299533395538,145.27843763179166,Google
1013,2019-01-03 12:16:42.708,145.028,145.063,330,370,4996114,145.04649999999998,145.0455,0.03499999999999659,44.373000000000246,-32,143.9265000000001,145.26918746050075,Google
1029,2019-01-03 12:20:43.513,144.808,144.84,120,7500,4997883,144.8394960629921,144.824,0.03200000000001069,44.328,-20,144.1994960629919,145.0571700166171,Google
981,2019-01-03 12:25:09.687,145.008,145.048,10,7500,4999282,145.0479467376831,145.02800000000002,0.03999999999999204,38.392000000000195,4,145.20794673768307,144.90671681590183,Google
999,2019-01-03 12:29:18.831,145.077,145.113,10300,180,4999622,145.0776183206107,145.095,0.036000000000001364,40.066999999999666,0,145.0776183206107,144.98696643744873,Google
1084,2019-01-03 12:33:58.677,144.957,145.002,120,7500,4996746,145.0012913385827,144.9795,0.045000000000015916,45.792999999999836,-13,144.41629133858248,145.06191708951752,Google
1038,2019-01-03 12:37:51.286,144.751,144.822,330,7500,4996265,144.81900766283525,144.7865,0.07099999999999795,43.328000000000486,-21,143.3280076628353,144.8076263835314,Google
1045,2019-01-03 12:43:01.871,144.547,144.601,120,7500,4996053,144.6001496062992,144.574,0.054000000000002046,42.273999999999575,48,147.1921496062993,144.6563624699492,Google
1034,2019-01-03 12:47:58.703,144.738,144.769,120,7500,4997878,144.76851181102364,144.7535,0.03100000000000591,39.63899999999981,59,146.597511811024,144.7020552178413,Google
1059,2019-01-03 12:53:37.191,145.088,145.118,330,7500,4999713,145.11673563218392,145.103,0.030000000000001137,41.81400000000127,52,146.67673563218398,144.98152661555707,Google
1037,2019-01-03 12:58:59.628,145.048,145.082,10,76,4990163,145.0780465116279,145.065,0.033999999999991815,42.94300000000132,2,145.14604651162787,145.14158789158284,Google
993,2019-01-03 13:03:50.804,144.808,144.838,120,7500,4989183,144.8375275590551,144.82299999999998,0.030000000000001137,38.15400000000017,-20,144.23752755905508,144.9623503481378,Google
1007,2019-01-03 13:07:47.323,145.007,145.052,120,7500,4999875,145.0512913385827,145.02949999999998,0.044999999999987494,39.168999999999926,2,145.14129133858268,145.0024871519024,Google
1052,2019-01-03 13:12:15.789,145.037,145.092,120,7500,4993781,145.0911338582677,145.0645,0.05500000000000682,41.449000000000126,5,145.36613385826774,144.97957356584473,Google
1018,2019-01-03 13:16:16.747,144.598,144.642,330,7500,4997440,144.64014559386973,144.62,0.04399999999998272,40.0210000000001,-1,144.59614559386975,144.79370225851986,Google
904,2019-01-03 13:19:01.353,144.238,144.288,100,7500,4993896,144.28734210526315,144.263,0.05000000000001137,34.71100000000132,-55,141.53734210526252,144.5077112746964,Google
1034,2019-01-03 13:23:53.007,144.417,144.453,120,310,4999624,144.4429534883721,144.435,0.036000000000001364,42.367000000000616,1,144.4789534883721,144.34621222949195,Google
1042,2019-01-03 13:28:53.262,143.997,144.03,11100,7500,4998896,144.0103064516129,144.01350000000002,0.03299999999998704,38.88700000000068,-55,142.19530645161362,144.15758492297354,Google
959,2019-01-03 13:33:39.280,143.988,144.022,120,8030,4979174,144.02149938650305,144.005,0.033999999999991815,35.660999999999234,-38,142.72949938650336,144.10515788093198,Google
908,2019-01-03 13:37:10.689,144.107,144.143,330,75,4993338,144.11366666666666,144.125,0.036000000000001364,33.35300000000058,-37,142.7816666666666,144.02141123882504,Google
1052,2019-01-03 13:42:26.860,144.208,144.24,120,7500,4992623,144.23949606299212,144.224,0.03200000000001069,40.92499999999973,11,144.59149606299223,144.08864750720656,Google
988,2019-01-03 13:47:34.078,143.828,143.872,120,7500,4993865,143.8713070866142,143.85000000000002,0.04400000000001114,38.246000000000436,3,144.00330708661423,144.01449909457148,Google
979,2019-01-03 13:52:33.794,143.418,143.472,120,1390,4999771,143.46770860927154,143.445,0.054000000000002046,37.11100000000013,-22,142.2797086092715,143.62344952169173,Google
1003,2019-01-03 13:57:18.503,143.097,143.13,100,7500,4999161,143.12956578947367,143.1135,0.03299999999998704,37.76599999999985,-34,142.0075657894741,143.26298373826413,Google
1123,2019-01-03 14:02:42.400,143.187,143.23,10200,7500,4996641,143.20522033898308,143.20850000000002,0.042999999999977945,43.78599999999932,34,144.66722033898233,143.09536962925532,Google
1092,2019-01-03 14:07:30.759,143.398,143.432,15,290,4997083,143.43032786885246,143.415,0.033999999999991815,44.00699999999904,15,143.94032786885234,143.2713367852997,Google
1035,2019-01-03 14:12:42.150,143.288,143.322,120,330,4990335,143.31293333333335,143.305,0.033999999999991815,41.14399999999927,10,143.65293333333327,143.29156045417685,Google
1037,2019-01-03 14:17:30.429,143.108,143.143,330,150,4995976,143.1189375,143.1255,0.03499999999999659,39.50699999999944,22,143.8889374999999,143.19554943813307,Google
1006,2019-01-03 14:23:16.546,143.297,143.329,100,7500,4994603,143.3285789473684,143.313,0.03200000000001069,38.22200000000021,21,144.00057894736864,143.24204636117176,Google
